latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.15569,133.53383,335.98,1.06,1.03,2023-09-22,0054,T,81,6.1NRT,310.83,20.78,D
-13.93546,132.0569,328.57,1.24,1.11,2023-09-22,0054,T,70,6.1NRT,307.54,19.17,D
-13.94528,132.05533,363.64,1.24,1.11,2023-09-22,0054,T,100,6.1NRT,309.11,113.12,D
-13.94707,132.06665,354.44,1.24,1.11,2023-09-22,0054,T,96,6.1NRT,309.96,78.54,D
-13.95509,132.05371,344.19,1.24,1.11,2023-09-22,0054,T,89,6.1NRT,310.68,47.93,D
-13.95687,132.065,346.57,1.24,1.11,2023-09-22,0054,T,91,6.1NRT,311.24,53.53,D
-14.18446,133.53905,329.81,1.06,1.03,2023-09-22,0054,T,20,6.1NRT,311.55,10.93,D
-14.19212,133.52806,334.15,1.06,1.03,2023-09-22,0054,T,74,6.1NRT,312.96,16.64,D
-14.19357,133.53764,330.33,1.06,1.03,2023-09-22,0054,T,26,6.1NRT,312.32,11.61,D
-14.12144,130.42815,325.41,1.57,1.24,2023-09-22,0054,T,47,6.1NRT,307.76,11.17,D
-14.55695,132.83252,348.18,1.12,1.05,2023-09-22,0054,T,92,6.1NRT,309.23,48.6,D
-14.55851,132.84265,329.95,1.11,1.05,2023-09-22,0054,T,64,6.1NRT,310.08,14.07,D
-14.5663,132.83104,362.47,1.12,1.05,2023-09-22,0054,T,100,6.1NRT,311.22,87.25,D
-14.56785,132.84119,345.62,1.11,1.05,2023-09-22,0054,T,90,6.1NRT,309.72,41.05,D
-14.57719,132.83971,329.58,1.11,1.05,2023-09-22,0054,T,55,6.1NRT,309.27,11.19,D
-16.40393,144.69514,320.26,4.22,1.9,2023-09-22,0054,T,66,6.1NRT,295.66,79.01,D
-16.40793,144.69005,318.13,4.22,1.9,2023-09-22,0054,T,50,6.1NRT,295.17,60.59,D
-15.53201,136.1566,335.38,1.06,1.03,2023-09-22,0054,T,81,6.1NRT,311.71,22.4,D
-15.54115,136.15529,385.04,1.06,1.03,2023-09-22,0054,T,100,6.1NRT,316.35,173.07,D
-15.54248,136.16498,333,1.06,1.03,2023-09-22,0054,T,78,6.1NRT,310.96,17.95,D
-15.58815,136.1584,342.34,1.06,1.03,2023-09-22,0054,T,88,6.1NRT,312.62,32.31,D
-15.59729,136.15707,346.45,1.06,1.03,2023-09-22,0054,T,91,6.1NRT,312.96,41.74,D
-16.10173,136.7588,339.36,1.13,1.06,2023-09-22,0054,T,84,6.1NRT,310.67,30.32,D
